city_id,id,slug,is_nfc,cash_in,type,working_weekends,is_digital,lat,lng,work_hours_week,work_hours_saturday,work_hours_sunday,address,name,function
37,886,shimal-filiali-824,0,0,B,0,0,41.364976,48.555681,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),"Quba şəh., Heydər Əliyev pr. (Quba regional “ASAN xidmət mərkəzinin Quba ASAN Həyat kompleksində)",Şimal filialı,branch
43,887,mingecevir-shobesi-903,0,0,B,0,0,40.771181,47.03524708,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),"Mingəçevir şəhəri, Heydər Əliyev prospekti 380 (ASAN xidmət mərkəzində)",Mingəçevir şöbəsi,branch
55,888,sumqayit-shobesi-898,0,0,B,0,0,40.58764815,49.66490089,09:00-18:30 (Müştərilərə xidmət vaxtı 09:00-18:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),"Sumqayıt şəhəri, Bakı küçəsi 15-ci məhəllə, 42D",Sumqayıt şöbəsi,branch
29,889,imishli-shobesi-905,0,0,B,0,0,39.8768602,48.0826333,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),"İmişli şəhəri, S. Fətəliyev küçəsi (ASAN Xidmət Mərkəzi)",İmişli şöbəsi,branch
59,890,sheki-asan-xidmet-merkezi-shobesi-915,0,0,B,0,0,41.15685394,47.18094796,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),"Şəki şəhəri, Z. Əliyeva küçəsi, Şəki ASAN həyat kompleksi",Şəki şöbəsi,branch
1,910,b-20,0,0,B,0,1,40.375507355,49.815322876,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,"Bakı şəhəri, Yasamal rayonu, H.Cavid pr. 556/57-ci məhəllə (Elmlər Akademiyası m/s yaxınlığında)",Birbank Rəqəmsal Mərkəz (Elmlər Akademiyası),branch
32,911,kurdemir-shobesi,0,0,B,0,0,40.32248,48.19138,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),"Kürdəmir şəhəri, Atakişili kəndinin cənub-şərq hissəsi (ASAN xidmət mərkəzində)",Kürdəmir şöbəsi,branch
64,913,tovuz-shobesi,0,0,B,0,0,40.9816369,45.6554927,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),"Tovuz şəhəri, Aşağı quşçu kəndi inzibati ərazi idarəsi, ASAN xidmət daxilində",Tovuz şöbəsi,branch
45,919,naxcivan-filiali,0,0,B,0,0,39.214512,45.41151,10:00-17:00,,,"Naxçıvan şəhəri, İstiqlal küç. 85",Naxçıvan filialı,branch
3,920,agcabedi-shobesi,0,0,B,0,0,40.055719,47.416668,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),"Ağcabədi rayonu, Üzeyir Hacıbəyli prospekti (ASAN xidmət daxilində)",Ağcabədi şöbəsi,branch
1,924,insaatcilar-filiali,0,0,B,1,0,40.390239,49.802869,09:00–17:00,10:00-14:00,,"Bakı şəhəri, Yasamal rayonu, A.M.Şərifzadə küçəsi 162",İnşaatçılar filialı,branch
58,925,shamaxi-shobesi,0,0,B,0,0,40.6137646,48.6626248,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),"Şamaxı şəhəri, Şəhriyar qəsəbəsi (ASAN Xidmət Mərkəzi)",Şamaxı şöbəsi,branch
10,945,balaken-shobesi,0,0,B,0,0,41.7084701,46.4214415,09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),"Balakən rayonu, ""ASAN Həyat"" kompleksi",Balakən şöbəsi,branch
34,1365,qazax-shobesi-297,0,0,B,0,0,41.32605743408203,45.07855987548828,7 gün / 24 saat,7 gün / 24 saat,7 gün / 24 saat,"Qazax rayonu, Qırmızı Körpü Gömrük Nəzarət buraxılış məntəqəsi",Qazax şöbəsi,branch
